filename,language,name,email,phone,experience,project,education,certificate,languages,website,hobbies,location
resume_1.pdf,en,Anne Hamilton,anne.hamilton@outlook.com,+27-426-7072,Software Engineer at IBM (3 years) - Internship role: Designed and implemented cloud infrastructure. | Full Stack Developer at Microsoft (6 months) - Freelance role: Managed digital marketing campaigns.,Developed a Cloud-Based E-commerce Platform,PhD in Artificial Intelligence,Azure DevOps Expert,"English, Spanish",www.myresume.net,"Cycling, Cooking","Cehegín, Unknown"
resume_2.pdf,fr,August Boykin,august.boykin@example.com,+971-202-7184,Software Engineer at Tesla (6 months) - Internship role: Analyzed data and created machine learning models.,Implemented an Automated Tax Filing System,MBA in Financial Management,Certified Financial Planner,"English, French",www.myresume.net,"Photography, Gaming","Amsterdam, Unknown"
resume_3.pdf,fr,Andrew Whitt,andrew.whitt@outlook.com,+1-289-8007,UI/UX Designer at Amazon (4 years) - Full-time role: Collaborated with the design team to improve user interface. | Data Scientist at Tesla (1 year) - Part-time role: Managed digital marketing campaigns. | UI/UX Designer at Accenture (1 year) - Full-time role: Designed and implemented cloud infrastructure.,Developed a Financial Risk Assessment Model,BSc in Finance,CFA Level 2,"French, Arabic",www.myresume.net,"Photography, Gaming","Tashan, Unknown"
resume_4.pdf,en,Arlene Thompson,arlene.thompson@example.com,+91-899-8214,Full Stack Developer at Facebook (3 years) - Freelance role: Designed and implemented cloud infrastructure. | DevOps Engineer at Accenture (2 years) - Full-time role: Collaborated with the design team to improve user interface.,Led a Successful Marketing Campaign for a New Product,MBA in Digital Marketing,Certified Digital Marketer,"English, French",www.example.com,"Photography, Gaming","West Covina, Unknown"
resume_5.pdf,en,Natasha Burruss,natasha.burruss@outlook.com,+971-849-6257,DevOps Engineer at Deloitte (3 years) - Full-time role: Managed digital marketing campaigns.,Redesigned a Company Intranet Portal,MSc in Data Science,Certified Python Developer,"French, Arabic",www.myresume.net,"Reading, Traveling","Bundoora, Unknown"
resume_6.pdf,fr,Shirley France,shirley.france@gmail.com,+33-891-2844,Software Engineer at Amazon (4 years) - Freelance role: Worked on frontend and backend development using modern frameworks. | Data Scientist at Amazon (4 years) - Internship role: Designed and implemented cloud infrastructure.,Implemented an Automated Tax Filing System,BSc in Finance,CFA Level 2,"French, Arabic",www.example.com,"Cycling, Cooking","Adiwerna, Unknown"
resume_7.pdf,en,Sean Dimartino,sean.dimartino@example.com,+33-236-5010,UI/UX Designer at IBM (4 years) - Internship role: Worked on frontend and backend development using modern frameworks. | Data Scientist at Facebook (6 months) - Part-time role: Collaborated with the design team to improve user interface. | Software Engineer at Microsoft (6 months) - Part-time role: Managed digital marketing campaigns.,Implemented an Automated Tax Filing System,MBA in Financial Management,Certified Financial Planner,"English, French",www.myresume.net,"Photography, Gaming","Canoas, Unknown"
resume_8.pdf,en,Carol Hamilton,carol.hamilton@gmail.com,+1-357-3955,Data Scientist at Apple (3 years) - Freelance role: Worked on frontend and backend development using modern frameworks. | Full Stack Developer at Google (1 year) - Internship role: Worked on frontend and backend development using modern frameworks. | Full Stack Developer at Google (4 years) - Part-time role: Designed and implemented cloud infrastructure.,Increased Engagement by 30% on Social Media,BBA in Marketing,Certified Digital Marketer,"English, Spanish",www.portfolio.org,"Photography, Gaming","Merzig, Unknown"
resume_9.pdf,en,Teri Roberts,teri.roberts@example.com,+33-243-2878,Full Stack Developer at Tesla (6 months) - Freelance role: Managed digital marketing campaigns. | Product Manager at Google (3 years) - Freelance role: Collaborated with the design team to improve user interface. | UI/UX Designer at Accenture (3 years) - Internship role: Worked on frontend and backend development using modern frameworks.,Increased Engagement by 30% on Social Media,MBA in Digital Marketing,Google Ads Specialist,"English, Spanish",www.portfolio.org,"Reading, Traveling","Montecanal, Unknown"
resume_10.pdf,en,James Camerano,james.camerano@outlook.com,+91-491-2695,Full Stack Developer at Apple (2 years) - Internship role: Developed and maintained software applications. | DevOps Engineer at Apple (6 months) - Internship role: Developed and maintained software applications. | DevOps Engineer at Microsoft (1 year) - Freelance role: Managed digital marketing campaigns.,Developed a Financial Risk Assessment Model,BSc in Finance,CFA Level 2,"English, Spanish",www.example.com,"Hiking, Painting","Pemalang, Unknown"
